% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.184	1	15	19	5	92	28	549	0	0	0
0.184	1	15	19	5	92	28	549	0	0	1
0.185	1	9	19	6	65	28	549	0	0	0
0.185	1	9	19	6	65	28	549	0	0	1
0.186	1	10	19	7	31	28	549	0	0	0
0.186	1	10	19	7	31	28	549	0	0	1
0.187	1	14	19	8	72	28	549	0	0	0
0.187	1	14	19	8	72	28	549	0	0	1
0.188	1	1	19	9	39	28	549	0	0	0
0.188	1	1	19	9	39	28	549	0	0	1
0.189	1	5	19	10	78	28	549	0	0	0
0.189	1	5	19	10	78	28	549	0	0	1
0.19	1	4	20	1	44	28	549	0	0	0
0.19	1	4	20	1	44	28	549	0	0	1
0.191	1	11	20	2	1	28	549	0	0	0
0.191	1	11	20	2	1	28	549	0	0	1
0.192	1	8	20	3	83	28	549	0	0	0
0.192	1	8	20	3	83	28	549	0	0	1
0.193	1	7	20	4	52	28	549	0	0	0
0.193	1	7	20	4	52	28	549	0	0	1
0.194	1	3	20	5	10	28	549	0	0	0
0.194	1	3	20	5	10	28	549	0	0	1
0.195	1	13	20	6	87	28	549	0	0	0
0.195	1	13	20	6	87	28	549	0	0	1
0.196	1	12	20	7	59	28	549	0	0	0
0.196	1	12	20	7	59	28	549	0	0	1
0.197	1	6	20	8	20	28	549	0	0	0
0.197	1	6	20	8	20	28	549	0	0	1
0.198	1	2	20	9	90	28	549	0	0	0
0.198	1	2	20	9	90	28	549	0	0	1
0.199	1	15	20	10	92	28	549	0	0	0
0.199	1	15	20	10	92	28	549	0	0	1
0.2	1	9	21	1	65	28	549	0	0	0
0.2	1	9	21	1	65	28	549	0	0	1
0.201	1	10	21	2	31	28	549	0	0	0
0.201	1	10	21	2	31	28	549	0	0	1
0.202	1	14	21	3	72	28	549	0	0	0
0.202	1	14	21	3	72	28	549	0	0	1
0.203	1	1	21	4	39	28	549	0	0	0
0.203	1	1	21	4	39	28	549	0	0	1
0.204	1	5	21	5	78	28	549	0	0	0
0.204	1	5	21	5	78	28	549	0	0	1
0.205	1	4	21	6	44	28	549	0	0	0
0.205	1	4	21	6	44	28	549	0	0	1
0.206	1	11	21	7	1	28	549	0	0	0
0.206	1	11	21	7	1	28	549	0	0	1
0.207	1	8	21	8	83	28	549	0	0	0
0.207	1	8	21	8	83	28	549	0	0	1
0.208	1	7	21	9	52	28	549	0	0	0
0.208	1	7	21	9	52	28	549	0	0	1
0.209	1	3	21	10	10	28	549	0	0	0
0.209	1	3	21	10	10	28	549	0	0	1
0.21	1	13	22	1	87	28	549	0	0	0
0.21	1	13	22	1	87	28	549	0	0	1
0.211	1	12	22	2	59	28	549	0	0	0
0.211	1	12	22	2	59	28	549	0	0	1
0.212	1	6	22	3	20	28	549	0	0	0
0.212	1	6	22	3	20	28	549	0	0	1
0.213	1	2	22	4	90	28	549	0	0	0
0.213	1	2	22	4	90	28	549	0	0	1
0.214	1	15	22	5	92	28	549	0	0	0
0.214	1	15	22	5	92	28	549	0	0	1
0.215	1	9	22	6	65	28	549	0	0	0
0.215	1	9	22	6	65	28	549	0	0	1
0.216	1	10	22	7	31	28	549	0	0	0
0.216	1	10	22	7	31	28	549	0	0	1
0.217	1	14	22	8	72	28	549	0	0	0
0.217	1	14	22	8	72	28	549	0	0	1
0.218	1	1	22	9	39	28	549	0	0	0
0.218	1	1	22	9	39	28	549	0	0	1
0.219	1	5	22	10	78	28	549	0	0	0
0.219	1	5	22	10	78	28	549	0	0	1
0.22	1	4	23	1	44	28	549	0	0	0
0.22	1	4	23	1	44	28	549	0	0	1
0.221	1	11	23	2	1	28	549	0	0	0
0.221	1	11	23	2	1	28	549	0	0	1
0.222	1	8	23	3	83	28	549	0	0	0
0.222	1	8	23	3	83	28	549	0	0	1
0.223	1	7	23	4	52	28	549	0	0	0
0.223	1	7	23	4	52	28	549	0	0	1
0.224	1	3	23	5	10	28	549	0	0	0
0.224	1	3	23	5	10	28	549	0	0	1
0.225	1	13	23	6	87	28	549	0	0	0
0.225	1	13	23	6	87	28	549	0	0	1
0.226	1	12	23	7	59	28	549	0	0	0
0.226	1	12	23	7	59	28	549	0	0	1
0.227	1	6	23	8	20	28	549	0	0	0
0.227	1	6	23	8	20	28	549	0	0	1
0.228	1	2	23	9	90	28	549	0	0	0
0.228	1	2	23	9	90	28	549	0	0	1
0.229	1	15	23	10	92	28	549	0	0	0
0.229	1	15	23	10	92	28	549	0	0	1
0.23	1	9	24	1	65	28	549	0	0	0
0.23	1	9	24	1	65	28	549	0	0	1
0.231	1	10	24	2	31	28	549	0	0	0
0.231	1	10	24	2	31	28	549	0	0	1
0.232	1	14	24	3	72	28	549	0	0	0
0.232	1	14	24	3	72	28	549	0	0	1
0.233	1	1	24	4	39	28	549	0	0	0
0.233	1	1	24	4	39	28	549	0	0	1
0.234	1	5	24	5	78	28	549	0	0	0
