% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
161	2	5	78	0	20	161	0	1	1
161	2	14	72	0	20	161	0	1	1
162	1	10	31	0	20	161	0	1	0
162	1	6	20	0	20	161	0	1	0
162	2	8	83	0	20	161	0	1	1
162	2	13	87	0	20	161	0	1	1
163	1	1	39	0	20	161	0	1	0
163	1	4	44	0	20	161	0	1	0
163	2	2	90	0	20	161	0	1	1
163	2	15	92	0	20	161	0	1	1
164	1	12	59	0	20	161	0	1	0
164	1	7	52	0	20	161	0	1	0
164	2	3	10	0	20	161	0	1	1
164	2	11	1	0	20	161	0	1	1
165	1	9	65	0	20	161	0	1	0
165	1	14	72	0	20	161	0	1	0
165	2	6	20	0	20	161	0	1	1
165	2	10	31	0	20	161	0	1	1
166	1	8	83	0	20	161	0	1	0
166	1	5	78	0	20	161	0	1	0
166	2	1	39	0	20	161	0	1	1
166	2	4	44	0	20	161	0	1	1
167	1	2	90	0	20	161	0	1	0
167	1	13	87	0	20	161	0	1	0
167	2	7	52	0	20	161	0	1	1
167	2	12	59	0	20	161	0	1	1
168	1	11	1	0	20	161	0	1	0
168	1	15	92	0	20	161	0	1	0
168	2	9	65	0	20	161	0	1	1
168	2	14	72	0	20	161	0	1	1
169	1	3	10	0	20	161	0	1	0
169	1	6	20	0	20	161	0	1	0
169	2	5	78	0	20	161	0	1	1
169	2	8	83	0	20	161	0	1	1
170	1	1	39	0	20	161	0	1	0
170	1	10	31	0	20	161	0	1	0
170	2	2	90	0	20	161	0	1	1
170	2	13	87	0	20	161	0	1	1
171	1	4	44	0	20	161	0	1	0
171	1	7	52	0	20	161	0	1	0
171	2	15	92	0	20	161	0	1	1
171	2	11	1	0	20	161	0	1	1
172	1	12	59	0	20	161	0	1	0
172	1	9	65	0	20	161	0	1	0
172	2	6	20	0	20	161	0	1	1
172	2	3	10	0	20	161	0	1	1
173	1	5	78	0	20	161	0	1	0
173	1	14	72	0	20	161	0	1	0
173	2	1	39	0	20	161	0	1	1
173	2	10	31	0	20	161	0	1	1
174	1	8	83	0	20	161	0	1	0
174	1	13	87	0	20	161	0	1	0
174	2	7	52	0	20	161	0	1	1
174	2	4	44	0	20	161	0	1	1
175	1	2	90	0	20	161	0	1	0
175	1	15	92	0	20	161	0	1	0
175	2	9	65	0	20	161	0	1	1
175	2	12	59	0	20	161	0	1	1
176	1	3	10	0	20	161	0	1	0
176	1	11	1	0	20	161	0	1	0
176	2	5	78	0	20	161	0	1	1
176	2	14	72	0	20	161	0	1	1
177	1	10	31	0	20	161	0	1	0
177	1	6	20	0	20	161	0	1	0
177	2	8	83	0	20	161	0	1	1
177	2	13	87	0	20	161	0	1	1
178	1	1	39	0	20	161	0	1	0
178	1	4	44	0	20	161	0	1	0
178	2	2	90	0	20	161	0	1	1
178	2	15	92	0	20	161	0	1	1
179	1	12	59	0	20	161	0	1	0
179	1	7	52	0	20	161	0	1	0
179	2	3	10	0	20	161	0	1	1
179	2	11	1	0	20	161	0	1	1
180	1	9	65	0	20	161	0	1	0
180	1	14	72	0	20	161	0	1	0
180	2	6	20	0	20	161	0	1	1
180	2	10	31	0	20	161	0	1	1
181	1	8	83	0	20	161	0	1	0
181	1	5	78	0	20	161	0	1	0
181	2	1	39	0	20	161	0	1	1
181	2	4	44	0	20	161	0	1	1
182	1	2	90	0	20	161	0	1	0
182	1	13	87	0	20	161	0	1	0
182	2	7	52	0	20	161	0	1	1
182	2	12	59	0	20	161	0	1	1
183	1	11	1	0	20	161	0	1	0
183	1	15	92	0	20	161	0	1	0
183	2	9	65	0	20	161	0	1	1
183	2	14	72	0	20	161	0	1	1
184	1	3	10	0	20	161	0	1	0
184	1	6	20	0	20	161	0	1	0
184	2	5	78	0	20	161	0	1	1
184	2	8	83	0	20	161	0	1	1
185	1	1	39	0	20	161	0	1	0
185	1	10	31	0	20	161	0	1	0
185	2	2	90	0	20	161	0	1	1
185	2	13	87	0	20	161	0	1	1
186	1	4	44	0	20	161	0	1	0
186	1	7	52	0	20	161	0	1	0
186	2	15	92	0	20	161	0	1	1
186	2	11	1	0	20	161	0	1	1
187	1	12	59	0	20	161	0	1	0
187	1	9	65	0	20	161	0	1	0
187	2	6	20	0	20	161	0	1	1
187	2	3	10	0	20	161	0	1	1
188	1	5	78	0	20	161	0	1	0
188	1	14	72	0	20	161	0	1	0
188	2	1	39	0	20	161	0	1	1
188	2	10	31	0	20	161	0	1	1
189	1	8	83	0	20	161	0	1	0
189	1	13	87	0	20	161	0	1	0
189	2	7	52	0	20	161	0	1	1
189	2	4	44	0	20	161	0	1	1
190	1	2	90	0	20	161	0	1	0
190	1	15	92	0	20	161	0	1	0
190	2	9	65	0	20	161	0	1	1
190	2	12	59	0	20	161	0	1	1
191	1	3	10	0	20	161	0	1	0
191	1	11	1	0	20	161	0	1	0
191	2	5	78	0	20	161	0	1	1
191	2	14	72	0	20	161	0	1	1
192	1	10	31	0	20	161	0	1	0
192	1	6	20	0	20	161	0	1	0
192	2	8	83	0	20	161	0	1	1
192	2	13	87	0	20	161	0	1	1
193	1	1	39	0	20	161	0	1	0
193	1	4	44	0	20	161	0	1	0
193	2	2	90	0	20	161	0	1	1
193	2	15	92	0	20	161	0	1	1
194	1	12	59	0	20	161	0	1	0
194	1	7	52	0	20	161	0	1	0
194	2	3	10	0	20	161	0	1	1
194	2	11	1	0	20	161	0	1	1
195	1	9	65	0	20	161	0	1	0
195	1	14	72	0	20	161	0	1	0
195	2	6	20	0	20	161	0	1	1
195	2	10	31	0	20	161	0	1	1
196	1	8	83	0	20	161	0	1	0
196	1	5	78	0	20	161	0	1	0
196	2	1	39	0	20	161	0	1	1
196	2	4	44	0	20	161	0	1	1
197	1	2	90	0	20	161	0	1	0
197	1	13	87	0	20	161	0	1	0
197	2	7	52	0	20	161	0	1	1
197	2	12	59	0	20	161	0	1	1
198	1	11	1	0	20	161	0	1	0
198	1	15	92	0	20	161	0	1	0
198	2	9	65	0	20	161	0	1	1
198	2	14	72	0	20	161	0	1	1
199	1	3	10	0	20	161	0	1	0
199	1	6	20	0	20	161	0	1	0
199	2	5	78	0	20	161	0	1	1
199	2	8	83	0	20	161	0	1	1
200	1	1	39	0	20	161	0	1	0
200	1	10	31	0	20	161	0	1	0
200	2	2	90	0	20	161	0	1	1
200	2	13	87	0	20	161	0	1	1
201	1	4	44	0	20	161	0	1	0
201	1	7	52	0	20	161	0	1	0
201	2	15	92	0	20	161	0	1	1
